,Unnamed: 0,name,brand,pricenew,sale,priceold
0,0,Nước Hoa Nữ Diamond Femme 45ml (Trắng),Eau De Parfum,301.000 ₫,45%,549.000 ₫
1,1,Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml,Inner Perfume #Eau De Bijou,144.000 ₫,59%,350.000 ₫
2,2,Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng),Eau De Parfum,275.000 ₫,50%,549.000 ₫
3,3,Nước Hoa Nam Diamond Homme 45ml (Đen),Eau De Parfum,275.000 ₫,50%,549.000 ₫
4,4,Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ),Eau De Parfum,301.000 ₫,45%,549.000 ₫
5,5,Nước Hoa Nữ Gennie Little Gold Dress 50ml,Little Gold Dress,146.000 ₫,33%,219.000 ₫
6,6,Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml,Inner Perfume #Eau De Fleur,179.000 ₫,49%,350.000 ₫
7,7,Nước Hoa Nữ Gennie Little Black Dress 50ml,Little Black Dress,146.000 ₫,33%,219.000 ₫
8,8,Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love 88ml,Perfume Body Mist,134.000 ₫,21%,169.000 ₫
9,9,Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml,,219.000 ₫,42%,378.000 ₫
10,10,Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml,Eau De Parfum,354.000 ₫,36%,550.000 ₫
11,11,Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml,Eau De Parfum,354.000 ₫,36%,550.000 ₫
12,12,Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 35ml,,54.000 ₫,32%,79.000 ₫
13,13,Nước Hoa Nữ Gennie Little Red Dress 50ml,Little Red Dress,110.000 ₫,50%,219.000 ₫
14,14,Nước Hoa Nam Gota Iconic Eau de Parfum 50ml,Iconic Perfume For Men Eau de Parfum,148.000 ₫,50%,296.000 ₫
15,15,Combo Gennie Nước Hoa + Sữa Tắm Little Gold Dress 50ml + 450ml,,219.000 ₫,42%,378.000 ₫
16,16,Nước Hoa Nữ De Memoria EDP #04 Dresden 30ml,Eau De Parfum,354.000 ₫,36%,550.000 ₫
